"Titel","Original Titel","Autor(en)","Sprache","ISBN","DDR Lizenznummer"
"Halt dich senkrecht!",,"Hans Backe","deutsch",,"304/270/308/77-(55)"
"Onkel Toms Hütte","Uncle Tom's Cabin","Harriet Beecher-Stowe","deutsch",,"303/305/172/61"
"Vorsicht an der Bahnsteigkante",,"Lothar Kusche","deutsch",,"540/51/77"
"Wie man einen Haushalt aushält",,"Lothar Kusche","deutsch",,"540/53/76"
"Ilse Bilse",,"diverse","deutsch",,"304/270/313/81-(168)"
"Der Geist des Llano Estacado",,"Karl May","deutsch",,"303/305/58/85"
"Die letzte Zeugin",,"Hainer Rank","deutsch",,"409/160/166/77"
"1984",1984,"George Orwell","deutsch","3-548-22562-4",
"Die größten Irrtümer der Welt","The World's Greatest Mistakes","Nigel Blundell","deutsch","3-426-03758-0",
"Dinopark","Jurassic Park","Michael Crichton","deutsch",,
"Der Señor und die Punkte",,"W. K. Schweickert","deutsch",,"484/250/1002/62"
"Die drei Musketiere - 2.Band","Les trois Mousquetaires","Alexandre Dumas","deutsch",,"220/415/63/80"
"Zwanzig Jahre später - 1.Band","Vingt ans Après","Alexandre Dumas","deutsch",,"220/415/51/79"
"Bummel durch Europa","A Tramp Abroad","Mark Twain","deutsch",,"301/120/138/65"
"Das Jahr und Katrin",,"Klaus Gerisch","deutsch",,"391/240/23/73"
"Das siebte Kreuz",,"Anna Seghers","deutsch",,"363/340/72/68"
"Die Augen der Blinden",,"Werner Steinberg","deutsch",,"409/160/155/77"
"Unheimliche Erscheinungsformen auf Omega XI",,"Johanna Braun, Günter Braun","deutsch",,"409/160/165/81"
"De quergestreifte Kaugummi",,"Ephraim Kishon","deutsch","3-548-20013-3",
"Stadt der Mäuse","All You Can Eat","Robin Hemley","deutsch","3-442-09658-8",
"Die Erben des Rings",,"diverse","deutsch","3-404-13803-1",
"Wyrm",,"Wolfgang Hohlbein","deutsch","3-453-16119-X",
"The Sleepover Club at Kenny's",,"Rose Impey","englisch","0-00-679451-3",
"Sleepover in Spain",,"Narinder Dhami","englisch","0-00-675395-7",
"The Sleepover Club at Frankie's",,"Rose Impey","englisch","0-00-675233-0",
"Weihnachtsgeschichten",,"Charles Dickens","deutsch","3-85001-493-2",
"Andres",,"Herbert Mühlstädt","deutsch",,"304/270/645/84-(20)"
"Robinson Crusoe",,"Daniel Defeo",,,
"Die Schule der Robinsons","L'école des Robinsons","Jules Verne","deutsch",,"303/305/99/87"
"Zwei Jahre Ferien","Deux ans de vacanes","Jules Verne","deutsch",,"303/305/228/82"
"Die drei Musketiere - 1.Band","Les trois Mousquetaires","Alexandre Dumas","deutsch",,"220/415/62/80"
"Nord gegen Süd","Nord contre Sud","Jules Verne","deutsch",,"303/305/251/81"
"Zwanzig Jahre später - 2.Band","Vingt ans Après","Alexandre Dumas","deutsch",,"220/415/52/79"
"Der Seewolf","The Sea-Wolf","Jack London","deutsch","3-87070-407-1",
"Steven Spielberg's Unglaubliche Geschichten","Steven Spielberg's Amazing Stories","Steven Bauer","deutsch","3-442-08830-5",
"Star Trek: Blutdurst","Bloodthirst","J. M. Dillard","deutsch","3-453-05850-X",
"Das Schiff von Orthis","The Starmen of Llyrdis","Leigh Brackett","deutsch",,
"Piraten zwischen Mars und Erde",,"K. H. Scheer","deutsch",,
"Wie ich meinen Eltern den letzten Nerv raubte - Enthüllungen eines Säuglings","How to be a Little Sod","Simon Brett","deutsch","3-426-73012-X",
"Sliver","Sliver","Ira Levin","deutsch","3-442-41159-9",
"Star Trek: Generationen","Star Trek: Generations","John Vornholt","deutsch","3-453-09050-0",
"Raumschiff Enterprise: Klingonen-Gambit",,"Sandra Marshak, Myrna Culbreath","deutsch","3-442-23601-0",
"Battle Isle Saga: Aristos Diener",,"Stefan Piasecki","deutsch","3-404-13756-6",
"Star Trek: Sohn der Vergangenheit","Yesterday's Son","A. C. Crispin","deutsch","3-453-00444-2",
"Die Akte","The Pelican Brief","John Crisham","deutsch","3-453-07565-X",
"Raumschiff Orion: Die tödliche Ebene",,"Hanns Kneifel","deutsch","3-442-23645-2",
"Die Jury","A Time to Kill","John Crisham","deutsch","3-453-06118-7",
"Congo","Congo","Michael Crichton","deutsch","3-426-60290-3",
"The Flintstones - Die Familie Feuerstein","The Flintstones","Todd Strasser","deutsch","3-453-08328-8",
"Tödliche Rituale","Bad Blood","Anthony Bruno","deutsch","3-404-13345-5",
"Star Trek: Die verlorenen Jahre","The Lost Years","J. M. Dillard","deutsch","3-453-05389-3",
"Star Trek: Der Prüfstein ihrer Vergangenheit","Home is the Hunter","Dana Kramer-Rolls","deutsch","3-453-07984-1",
"Star Trek IV - Zurück in die Vergangenheit","Star Trek IV - The Voyage Home","Vonda N. McIntyre","deutsch","3-453-00534-1",
"Die letzte Nacht der Titanic","A Night to Remember","Walter Lord","deutsch","3-7043-2019-6",
"Das Bildbuch der deutschen Kriegsmarine",,"Cajus Bekker","deutsch","3-453-00916-9",
"Auch die Waschmaschine ist nur ein Mensch",,"Ephraim Kishon","deutsch","3-7766-1454-4",
"Der grosse Boss",,"Fred Denger","deutsch",,
"Savvy",,"Götz R. Richter","deutsch",,"304/270/476/84-(17,5)"
"Ein Apfel ist an allem schuld",,"Ephraim Kishon","deutsch","3-404-12554-1",
"Essen ist meine Lieblingsspeise",,"Ephraim Kishon","deutsch","978-3-548-23456-4",
"Des Teufels Werkstatt",,"Adolf Burger","deutsch","3-355-00494-4",
"Das Geheimnis großer Feldherren","?????? ??????? ???????????","Wladimir Abtschuk","deutsch",,
"Silberhuf","Silver Hooves","Alan Winnington","deutsch",,"304/270/431/85-(100)"
"Ich war ein schlechter Schüler","???? ?????? ? ????? ? ????","Nikolai Nossow","deutsch",,"304/270/161/61-(55-III A)"
"Geschichten aus tausendundeiner Nacht",,"diverse","deutsch",,"363/340/96/86"
"Journey to the Centre of the Earth",,"Jules Verne","englisch","0-14-062139-3",
"Von Seeleuten und Schiffen",,"Robert Rosentreter","deutsch","3-358-00359-0",
"Die Abenteuer von Sherlock Holmes","The Adventures of Sherlock Holmes","Arthur Conan Doyle","deutsch",,"396/265/17/83"
"Ein Quälgeist kommt selten allein","Not Another Little Sod!","Simon Brett","deutsch","3-426-73067-7",
"Kampfstern Galactica 3: Die Gräber von Kobol","Battlestar Galactica 3: The Tombs of Kobol","Glen A. Larson, Robert Thurston","deutsch","3-442-23750-5",
"Das silberne Dreieck","Again the Three","Edgar Wallace","deutsch","978-3-442-00154-5",
"Edward","What We Did to Father","Roy Lewis","deutsch","3-293-00215-3",
"Der Ochs im Dom",,"E. R. Greulich","deutsch",,"540/6/76"
"Wem das Herz gehört",,"diverse","deutsch",,"420/205/113/66"
"Eine kurze Geschichte der Zeit","A Brief History of Time","Stephen Hawking","deutsch","3-499-60555-4",
"Die Töchter des Drachen",,"Wolfgang Hohlbein","deutsch","3-404-25261-6",
"Die Herrin vom Nil","Child of the Morning","Pauline Gedge","deutsch","978-3-499-15360-0",
"Im Land der Diamanten",,"Jules Verne","deutsch",,
"Das Lied der Delphine",,"Federica de Cesco","deutsch","3-473-54079-X",
"Vergessene Welt","The Lost World","Michael Crichton","deutsch","3-426-60684-4",
"Die Rückkehr der Götter (Enwor 6)",,"Wolfgang Hohlbein","deutsch","3-442-23908-7",
"Das schweigende Netz (Enwor 7)",,"Wolfgang Hohlbein","deutsch","978-3-442-23909-2",
"Der steinerne Wolf (Enwor 4)",,"Wolfgang Hohlbein","deutsch","3-442-23840-4",
"Das tote Land (Enwor 3)",,"Wolfgang Hohlbein","deutsch","978-3-442-23839-2",
"Die brennende Stadt (Enwor 2)",,"Wolfgang Hohlbein","deutsch","3-442-23838-2",
"Der wandernde Wald (Enwor 1)",,"Wolfgang Hohlbein","deutsch","3-442-23827-7",
"Die verbotenen Inseln (Enwor 10)",,"Wolfgang Hohlbein","deutsch","978-3-442-23912-2",
"Das vergessene Heer (Enwor 9)",,"Wolfgang Hohlbein","deutsch","978-3-442-23911-5",
"Das schwarze Schiff (Enwor 5)",,"Wolfgang Hohlbein","deutsch","978-3-442-23850-7",
"Der flüsternde Turm (Enwor 8)",,"Wolfgang Hohlbein","deutsch","978-3-442-23910-8",
"Die Karten von Mittelerde","The Map of Tolkien's Middle-Earth","Brian Sibley, Christopher Reuel Tolkien","deutsch","3-608-93378-6",
"Death's Domain",,"Terry Pratchett, Paul Kidby","englisch","0-552-14672-2",
"A Field Guide to Irish Fairies",,"Bob Curran","englisch","0-86281-634-3",
"Hauen & Stechen","Slay and Rescue","John Moore","deutsch","3-453-21389-0",
"Das große Lesebuch der Fantasy",,"diverse","deutsch","3-442-24665-2",
"Raumschiff Titanic","Starship Titanic","Douglas Adams, Terry Jones","deutsch","3-442-30798-8",
"Douglas Adams Das Leben, das Universum und der ganze Rest - Der Comic","Douglas Adams' Life, The Universe and Everything",,"deutsch","3-453-16103-3",
"Douglas Adams Das Restaurant am Ende des Universums","Douglas Adams' The Restaurant at the End of the Universe",,"deutsch","3-453-13149-5",
"Wallace & Gromit - Catch of the Day",,,"englisch","1-84023-495-4",
"Mort - Der Scheibenwelt-Comic","Mort","Terry Pratchett","deutsch","3-442-54523-4",
"Wachen! Wachen! - Der Scheibenwelt-Comic","Guards! Guards!","Terry Pratchett","deutsch","3-442-54533-1",
"Wahre Helden","The Last Hero","Terry Pratchett","deutsch","3-442-54531-5",
"Weihnachten mit Eloise","Eloise at Christmas Time","Kay Thompson","deutsch","3-8270-0382-2",
"Die Weihnachts-Erzählungen","Christmas Books","Charles Dickens","deutsch",,
"Der Thron der Libelle",,"Wolfgang Hohlbein","deutsch","3-404-25262-4",
"Die Moorhexe",,"Wolfgang Hohlbein","deutsch","3-404-25268-3",
"Das grosse Wolfgang-Hohlbein-Buch",,"Wolfgang Hohlbein","deutsch","3-404-25269-1",
"Neues vom Hexer von Salem",,"Wolfgang Hohlbein","deutsch","3-404-25264-0",
"Der Hexer von Salem",,"Wolfgang Hohlbein","deutsch","3-404-25263-2",
"Indiana Jones und das Geheimnis der Arche","Indiana Jones and the Genesis Deluge","Rob MacGregor","deutsch","3-442-42824-6",
"Indiana Jones und das Vermächtnis des Einhorns","Indiana Jones and the Unicorn's Legacy","Rob MacGregor","deutsch","3-442-43052-6",
"Indiana Jones und das Gold von El Dorado",,"Wolfgang Hohlbein","deutsch","978-3-442-09725-8",
"Indiana Jones und die Herren der toten Stadt","Indiana Jones and the Seven Veils","Rob MacGregor","deutsch","978-3-442-42330-9",
"Jäger des verlorenen Schatzes / Indiana Jones und der Tempel des Todes / Der Letzte Kreuzug","Raiders of the Lost Ark / Indiana Jones and the Temple of Doom / Indiana Jones and the Last Crusade","Campbell Black, James Kahn, Rob MacGregor","deutsch","978-3-442-11592-1",
"Indiana Jones und das Labyrinth des Horus",,"Wolfgang Hohlbein","deutsch","3-442-41145-9",
"Indiana Jones und der Tanz der Giganten","Indiana Jones and the Dance of the Giants","Rob MacGregor","deutsch","978-3-442-42329-3",
"Indiana Jones und die Hyänen des Himmels","Indiana Jones and the Skypirates","Martin Caidin","deutsch","3-442-43163-8",
"Indiana Jones und das verschwundene Volk",,"Wolfgang Hohlbein","deutsch","3-442-41028-2",
"Indiana Jones und das Schiff der Götter",,"Wolfgang Hohlbein","deutsch","978-3-442-09723-4",
"Indiana Jones und das Erbe von Avalon",,"Wolfgang Hohlbein","deutsch","978-3-442-41144-3",
"Indiana Jones und das Schwert des Dschinghis Khan / Indiana Jones und das Geheimnis der Osterinseln",,"Wolfgang Hohlbein","deutsch","978-3-442-11636-2",
"Die Heldenmutter",,"Wolfgang Hohlbein, Heike Hohlbein","deutsch","3-404-25267-5",
"Geisterstunde",,"Wolfgang Hohlbein","deutsch","3-404-25260-8",
"A Very Lizzie Christmas",,"diverse","englisch","0-7868-4617-8",
"Andromeda","The Andromeda Strain","Michael Crichton","deutsch","3-426-03258-9",
"Die ihre Toten Essen","Eaters of the Dead","Michael Crichton","deutsch","3-426-60289-X",
"Zu viele Nächte","A Night Without Armor","Jewel","deutsch","3-442-44533-7",
"Schindlers Liste","Schindler's List","Thomas Keneally","deutsch","978-3-442-42529-7",
"Charity: Der dritte Mond",,"Wolfgang Hohlbein","deutsch","3-404-23213-5",
"Charity: In den Ruinen von Paris",,"Wolfgang Hohlbein","deutsch","3-404-23102-3",
"Charity: Die dunkle Seite des Mondes",,"Wolfgang Hohlbein","deutsch","3-404-23121-X",
"Charity: Das Sternen-Inferno",,"Wolfgang Hohlbein","deutsch","3-404-23117-1",
"Charity: Der Spinnen-Krieg",,"Wolfgang Hohlbein","deutsch","3-404-23115-5",
"Charity: Die schwarze Festung",,"Wolfgang Hohlbein","deutsch","3-404-23110-4",
"Charity: Die beste Frau der Space Force",,"Wolfgang Hohlbein","deutsch","3-404-23096-5",
"Charity: Dunkel ist die Zukunft",,"Wolfgang Hohlbein","deutsch","3-404-23098-1",
"Charity: Die Königin der Rebellen",,"Wolfgang Hohlbein","deutsch","3-404-23100-7",
"Charity: Überfall auf Skytown",,"Wolfgang Hohlbein","deutsch","3-404-23207-0",
"Charity: Die schlafende Armee",,"Wolfgang Hohlbein","deutsch","3-404-23104-X",
"Charity: Hölle aus Feuer und Eis",,"Wolfgang Hohlbein","deutsch","3-404-23106-6",
"Harry Potter and the Deathly Hallows",,"J. K. Rowling","englisch","978-0-7475-9105-4",
"Harry Potter and the Half-Blood Prince",,"J. K. Rowling","englisch","0-7475-8108-8",
"Drei lustige Gesellen - Erstes Buch","Naksitrallid","Eno Raud","deutsch",,
"Drei lustige Gesellen - Zweites Buch","Naksitrallid, Teine raamat","Eno Raud","deutsch",,
"Drei lustige Gesellen - Drittes Buch","Jälle need naksitrallid, Esimene raamat","Eno Raud","deutsch",,
"Drei lustige Gesellen - Viertes Buch","Jälle need naksitrallid, Teine raamat","Eno Raud","deutsch",,
"A Series of Unfortunate Events: The Bad Beginning",,"Lemony Snicket","englisch","0-06-440766-7",
"Märchenmond",,"Wolfgang Hohlbein, Heike Hohlbein","deutsch","3-453-13720-5",
"Harry Potter and the Sorcerer's Stone",,"J. K. Rowling","englisch","0-590-35342-X",
"Harry Potter and the Order of the Phoenix",,"J. K. Rowling","englisch","0-7475-7072-8",
"Harry Potter and the Goblet of Fire",,"J. K. Rowling","englisch","0-7475-5099-9",
"Die Geschichte des großen Ringkrieges: Der Hobbit / Der Herr der Ringe","The Hobbit / The Lord of the Rings","J. R. R. Tolkien","deutsch","3-608-93320-4",
"Ein gutes Omen","Good Omens","Terry Pratchett, Neil Gaiman","deutsch","3-453-12677-7",
"You Don't Have To Be Evil To Work Here, But It Helps",,"Tom Holt","englisch","978-1-84149-284-1",
"Der ganze Wahnsinn",,"Terry Pratchett","deutsch","978-3-492-70155-6",
"Und übrigens noch was...","And Another Thing...","Eoin Colfer","deutsch","978-3-453-26640-7",
"Buffy the Vampire Slayer Staffel 8, Band 1: Die Rückkehr der Jägerin","Buffy the Vampire Slayer Season Eight Vol. 1: The Long Way Home","Joss Whedon","deutsch","978-3-866-07477-4",
"Die Gelehrten der Scheibenwelt","The Science of Discworld","Terry Pratchett, Ian Stewart, Jack Cohen","deutsch","3-453-17330-9",
"Einfache Fahrt",,"Anne Sell","deutsch","3-89656-067-0",
"Unseen Academicals",,"Terry Pratchett","englisch","978-0-3856-0934-0",
